['N', 'date', 'time', 'timestamp','1000','50 000','100 000','200 000','300 000','400 000','500 000'
[0,'2023-07-28','12:50:30',1690548630.591300,3.415935E-05,0.10136804128961800,0.2654242740970720,0.42415859655091000,0.5795329106727390,0.6318222980889200,0.7716534626295726]
[1,'2023-07-28','13:11:02',1690549862.935280,3.417541E-05,0.054400753292114200,0.14009176265980700,0.293486649137094,0.4499322642860340,0.6129765450725130,0.7250013089618221]
[2,'2023-07-28','13:31:29',1690551089.563260,3.416977E-05,0.20669823107894600,0.28366700752839300,0.41749568372362900,0.5444488293621530,0.6293784788689580,0.8656965813383266]
[3,'2023-07-28','13:51:04',1690552264.823270,3.419462E-05,0.0833622874191775,0.16463048520650100,0.30606465735365900,0.4721196785779820,0.5955197600551690,0.7364768184053929]
[4,'2023-07-28','14:12:45',1690553565.999310,3.410469E-05,0.08247365148976370,0.11552291721160700,0.29318426370603800,0.6166944849039600,0.7568867166055500,0.8986038374837477]
[5,'2023-07-28','14:34:20',1690554860.075290,3.401611E-05,0.14114704959406800,0.37495254345928700,0.5521524507184670,0.5435251291470140,0.6741054618299390,0.8077752306462855]
[6,'2023-07-28','14:54:45',1690556085.059270,3.398321E-05,0.23772941195321100,0.2968204256053040,0.41780790702713900,0.5231429327767640,0.6433635755054890,0.766718497327247]
[7,'2023-07-28','15:11:57',1690557117.827400,3.394495E-05,0.183681703726279,0.2514208588200400,0.4046851577017490,0.47150879736494700,0.5371851115488370,0.6548277386563655]
[8,'2023-07-28','15:14:13',1690557253.8713,3.394495E-05,0.05664495625082110,0.13396748646683000,0.2716053725071110,0.47057544106193900,0.7587158643649020,0.7032590221853781]
[9,'2023-07-28','15:34:27',1690558467.743310,3.405815E-05,-0.27664726515330100,-0.19906687889626100,-0.060969996489816900,0.138663599681351,0.4277649168998470,0.37212313662099916]
[10,'2023-07-28','15:54:09',1690559649.147290,3.404924E-05,0.10151790051175200,0.15850872270655700,0.2760200252974560,0.38984782965823700,0.5093852742172370,0.6336612913409851]
[11,'2023-07-28','16:13:25',1690560805.459260,3.408349E-05,0.0793724773431137,0.14883272959544100,0.251505527104527,0.35015780042793700,0.40930804622748000,0.5967735340232849]
[12,'2023-07-28','16:34:18',1690562058.655310,3.405907E-05,0.07334746157575010,0.1294947649815160,0.2662495327744380,0.36716365772370800,0.5294060970705060,0.66799355258064]
[13,'2023-07-28','16:54:14',1690563254.275300,3.407179E-05,0.06843852470846910,0.12563575985309700,0.24544377471365000,0.32995390190025400,0.45398828333853200,0.5780014862011171]
[14,'2023-07-28','17:15:05',1690564505.567320,3.41381E-05,-0.1260467618416780,-0.06873821030707460,0.2830266293473470,0.16764074692548500,0.5000349712002360,0.505928523612468]
[15,'2023-07-28','17:35:02',1690565702.468280,3.422265E-05,-0.1430389523154790,-0.08242035228929010,0.03605711146295220,0.1502695022058730,0.28281458889841800,0.408142913028783]
[16,'2023-07-28','17:43:44',1690566224.949450,3.424132E-05,0.09502394248328020,0.15947334752876000,0.28084087484643300,0.3987527460855770,0.5315260048654980,0.6761191648573259]
[17,'2023-07-28','17:54:15',1690566855.895120,3.422395E-05,0.03103529125765190,0.09777232564890430,0.2117711138269980,0.35022136299113500,0.5819845559171310,0.7265043664239101]
[18,'2023-07-28','18:13:26',1690568006.363290,3.420873E-05,0.07549327003765430,0.14220062528130500,0.2561487161682980,0.39453739404120800,0.5249921556384440,0.663937122380645]
[19,'2023-07-28','18:32:24',1690569144.675300,3.416802E-05,0.0806565733411162,0.18174402408509100,0.3226048778073790,0.41277648068424400,0.5465494098227450,0.6846498241018963]
[20,'2023-07-28','18:52:57',1690570377.299300,3.414096E-05,0.08281596378611770,0.16430668332746700,0.3022268776911260,0.43109963426286400,0.6253134228668250,0.7085948547612162]
[21,'2023-07-28','19:13:48',1690571628.363290,3.413596E-05,0.08223555429822230,0.1626792203529140,0.30193673863961100,0.44568166423006500,0.5843853753369790,0.7231362450949064]
[22,'2023-07-28','19:33:42',1690572822.743290,3.414699E-05,0.04995015960487590,0.13041981859008400,0.2697223337195990,0.40003581247893300,0.5312244290234110,0.6835242994821726]
[23,'2023-07-28','19:52:53',1690573973.48331,3.4147E-05,0.12859770150767200,0.20458571370326700,0.33355030713886400,0.46804087389824600,0.6021238767753660,0.7410635511295283]
[24,'2023-07-28','20:11:13',1690575073.20326,3.414492E-05,0.11771481784157300,0.1944857278861750,0.3243797331370930,0.44315645708591900,0.5838229766219310,0.7136136541845275]
[25,'2023-07-28','20:16:44',1690575404.559320,3.414655E-05,0.07475982524574930,0.14496555817120800,0.2745291742580350,0.36389439907745200,0.4892446633647150,0.6225906925119205]
[26,'2023-07-28','20:31:15',1690576275.056200,3.413361E-05,0.11262697750156300,0.182806105625545,0.3123206229544590,0.401651982390419,0.5269547445897870,0.6602502416153726]
[27,'2023-07-28','20:51:21',1690577481.115290,3.412888E-05,0.06897253284640220,0.14069593118003400,0.28572306332952700,0.399465337990776,0.5258973895578830,0.6583697943731721]
[28,'2023-07-28','21:11:53',1690578713.298980,3.412986E-05,0.07069507619564770,0.14263745032475600,0.27972746854881300,0.3966053401247930,0.5230410221482910,0.6555172308668062]
[29,'2023-07-28','21:31:21',1690579881.507300,3.411305E-05,0.07888990454389960,0.1498829636461780,0.291422319190346,0.4456196719073940,0.5724168990845870,0.7041298429957976]
[30,'2023-07-28','21:52:44',1690581164.972660,3.412468E-05,0.04482427539581120,0.11584153782430900,0.2833797594650350,0.38406242499269200,0.511801827843172,0.6437753267651374]
[31,'2023-07-28','22:10:58',1690582258.899310,3.413342E-05,0.04516229223631290,0.12098634130256900,0.25784037679824200,0.4195637927799250,0.5468457621125110,0.6803081525205954]
[32,'2023-07-29','02:35:45',1690598145.031310,3.40781E-05,0.09167920398367360,0.1581120187011040,0.2941295529332560,0.4185193752582000,0.5430442417609240,0.6851524071159361]
[33,'2023-07-29','03:20:53',1690600853.59531,3.407302E-05,0.08705760002818860,0.15222198450443600,0.2899492420011850,0.4139054186271240,0.5366880028695530,0.6654885928407737]
[34,'2023-07-29','04:10:20',1690603820.16328,3.406892E-05,0.10197310985928700,0.11861283392909200,0.30579598733442000,0.4258885944003340,0.5096999707584900,0.6791392103828855]
[35,'2023-07-29','04:54:48',1690606488.475280,3.405707E-05,0.0739950296531049,0.1849963261196310,0.282974184812133,0.45987412456933900,0.5388946365887360,0.6445557784684581]
[36,'2023-07-29','05:40:52',1690609252.447310,3.407365E-05,0.0656281749850649,0.13640339781099400,0.2611462764303530,0.41141501499197400,0.4904739965593730,0.6126643186264431]
[37,'2023-07-29','06:26:10',1690611970.047310,3.407968E-05,0.047942829795871900,0.162874608751153,0.2434955320001540,0.4155634052629440,0.4983095389445820,0.6647371838780884]
[38,'2023-07-29','06:28:12',1690612092.694100,3.407968E-05,0.1043995039386370,0.17202472528995800,0.3026178919265870,0.4249847793134480,0.544055027483239,0.6726106510497516]
[39,'2023-07-29','07:14:14',1690614854.038030,3.409521E-05,0.05887740174449620,0.12653343969057600,0.25718611721103500,0.37960876679288400,0.49873327488981500,0.6273474808383952]
[40,'2023-07-29','07:57:53',1690617473.675240,3.413676E-05,-0.0463029162631301,0.16755632279615900,0.15421174444041700,0.40603805585649900,0.5091291741868110,0.6552105141278872]
[41,'2023-07-29','08:11:07',1690618267.187280,3.414191E-05,0.0682149942691126,0.26118917972732400,0.2657544023443560,0.46324401626580400,0.5234585835894590,0.6402229855559796]
[42,'2023-07-29','08:43:34',1690620214.239320,3.417328E-05,-0.02360353889527290,0.16954795357941100,0.17411737077822000,0.37178844054641000,0.4320583337430860,0.6188679038793055]
[43,'2023-07-29','09:28:35',1690622915.246880,3.416339E-05,0.07379940828850810,0.1459603700229200,0.24832082843138900,0.3809445219328750,0.5039112258750440,0.6476295385959645]
[44,'2023-07-29','10:16:01',1690625761.107270,3.417704E-05,0.08756980845583940,0.1485041292286410,0.26437569796362900,0.3800497963920440,0.5035770893787940,0.6229721870354155]
[45,'2023-07-29','11:01:15',1690628475.515320,3.418531E-05,0.10046496974574400,0.12434253211985400,0.2693451563854690,0.35594422761886300,0.4795014111611810,0.6162034879517506]
[46,'2023-07-29','11:35:30',1690630530.167320,3.416217E-05,0.10071699559428300,0.1622094462451570,0.3011449604449580,0.39350686340731000,0.5165290675393240,0.6534016118518764]
[47,'2023-07-29','11:49:45',1690631385.387300,3.417441E-05,0.06492397588931450,0.11373610249356100,0.2654237522873900,0.37174337252989200,0.4957659493178850,0.538567214299988]
[48,'2023-07-29','12:33:57',1690634037.055310,3.416012E-05,0.07732104401023320,0.15550345739728800,0.3026932102575730,0.4134028419166780,0.5373735587714070,0.5801569264415605]
[49,'2023-07-29','13:18:17',1690636697.823290,3.41354E-05,0.08171981373868680,0.14778977755442200,0.37483925142609600,0.3891454441007910,0.5099282233666430,0.6403083812981265]
[50,'2023-07-29','14:03:36',1690639416.366520,3.413357E-05,0.08707643626958370,0.17594744627619700,0.27877945134081000,0.4161557628655000,0.5403459844417280,0.6514005384064632]
[51,'2023-07-29','14:45:10',1690641910.758710,3.414336E-05,0.0592613090038725,0.17692381449133200,0.2673618848861420,0.4132211277148200,0.5147108962026860,0.6229059277129778]
[52,'2023-07-29','15:29:32',1690644572.895310,3.415725E-05,0.08554956804522360,0.15549052798029100,0.2730733451404180,0.37270782268169,0.5156363350262010,0.6454926988482725]
[53,'2023-07-29','16:15:17',1690647317.727250,3.415798E-05,0.08234742817376170,0.15335667669207000,0.2983306689993980,0.38778321673183300,0.5411873726874460,0.659817251961826]
[54,'2023-07-29','16:55:42',1690649742.042810,3.416143E-05,0.1055421476318090,0.14671212934520400,0.2641597232399700,0.4091290511741620,0.5311419044377460,0.6422013917596274]
[55,'2023-07-29','17:41:10',1690652470.290530,3.412294E-05,0.09744110401062760,0.2592177548457070,0.3765330194471940,0.4531639700161630,0.618710629914375,0.6424978745557866]
[56,'2023-07-29','18:25:45',1690655145.704170,3.414766E-05,0.10439118999718700,0.02513069082007750,0.28189859069802000,0.28032289826276700,0.47645673049450500,0.6624975576717844]
[57,'2023-07-29','19:15:57',1690658157.979300,3.410535E-05,0.06794079647809780,0.14900262583617500,0.4054523823964190,0.40387864229251100,0.5997694586794890,0.7855797755553908]
[58,'2023-07-29','19:58:12',1690660692.543300,3.407394E-05,0.15997521276712200,0.17531313041473600,0.4102715893895380,0.43344653595008300,0.6496590415466560,0.7397254914375821]
[59,'2023-07-29','20:44:25',1690663465.42806,3.405748E-05,0.10604442922047500,0.22093878899123400,0.375595851804988,0.4815438639966060,0.6282975975920810,0.7392924932419476]
[60,'2023-07-30','04:11:04',1690690264.33131,3.413968E-05,0.07818911087673540,0.14876627876994100,0.2628468182580830,0.38044628412396300,0.5035049258520130,0.6236830531550339]
[61,'2023-07-30','04:53:08',1690692788.731300,3.413779E-05,0.08333016061270370,0.16405271983417400,0.2683683468580260,0.38396404349249700,0.5036168303912230,0.6291846055723056]
[62,'2023-07-30','05:36:41',1690695401.055300,3.413852E-05,0.08119354986600060,0.16191783525276500,0.25742486343128200,0.40738461605603500,0.5485610966928930,0.6130320606382895]
[63,'2023-07-30','06:08:33',1690697313.783380,3.414264E-05,0.10683645966467700,0.17051394005710600,0.2849636257291620,0.3953653025245250,0.548145831333656,0.6605781298522686]
[64,'2023-07-30','06:21:13',1690698073.147280,3.417003E-05,0.10661190685694100,0.16247381710584800,0.27478533527968800,0.38628708278763200,0.4683632988265320,0.6399095922022866]
[65,'2023-07-30','07:05:46',1690700746.091300,3.41759E-05,0.0894514247588063,0.1453229314117410,0.2576537433530180,0.3691746455195220,0.49391967075493400,0.6228407242295617]
[66,'2023-07-30','07:46:02',1690703162.247320,3.417555E-05,0.097117193851048,0.1526776114165360,0.2629110527743140,0.37405183410400900,0.49552054784365400,0.6250918719688627]
[67,'2023-07-30','08:32:13',1690705933.898690,3.41749E-05,0.0837439550195711,0.14181802615664200,0.25697264611193300,0.3711498190644140,0.49741306783656100,0.6269819275870674]
[68,'2023-07-30','09:16:02',1690708562.283270,3.416421E-05,0.1032564103116020,0.16478028432393900,0.2881725314784800,0.3978727374070700,0.5219458164285560,0.6725551826197886]
[69,'2023-07-30','09:56:43',1690711003.530690,3.416565E-05,0.09591954349514250,0.15561779867464100,0.2738844727521300,0.3936745702825280,0.5222408023979310,0.673442990367036]
[70,'2023-07-30','10:38:58',1690713538.467300,3.416434E-05,0.09975012612412120,0.1594460923170400,0.27276662304115000,0.3943181302504970,0.5266301709927600,0.6659620947851579]
[71,'2023-07-30','11:10:28',1690715428.843280,3.41556E-05,0.15475667771846700,0.21246964443902500,0.31203943331352900,0.38033365057455600,0.5219017060430670,0.6608066086096045]
[72,'2023-07-30','11:21:00',1690716060.80329,3.417553E-05,0.03927642346235420,0.10179140740352500,0.21275988572293200,0.33429560646121100,0.4638556316365770,0.6078502759518187]
[73,'2023-07-30','12:03:38',1690718618.923260,3.415677E-05,0.0941479404306449,0.15662860797355900,0.2675361722807140,0.3890051783222220,0.5232994010131050,0.6624096852374493]
[74,'2023-07-30','12:43:12',1690720992.744120,3.413616E-05,0.11491880395726600,0.17448503496625300,0.26911217951348500,0.39267994324826800,0.5212889082850010,0.6579799504414297]
[75,'2023-07-30','13:28:14',1690723694.659320,3.415272E-05,0.06089040545197120,0.12931711658140400,0.26391818058205300,0.39002787652533800,0.4730301862823150,0.6097875394607968]
[76,'2023-07-30','14:10:29',1690726229.883270,3.415508E-05,0.10068061183997700,0.1490145661943100,0.2570262799341950,0.383144690231191,0.5355984581746470,0.648307443061384]
[77,'2023-07-30','14:30:42',1690727442.791320,3.415642E-05,-0.18835155018477700,-0.1803464567797450,0.25614780009222200,0.37790345602778100,0.5073431019205260,0.6466989042077245]
[78,'2023-07-30','14:56:15',1690728975.404280,3.401191E-05,0.2355283143477890,0.24349953956499300,0.40752512857626800,0.4939050887903140,0.5928670454187570,0.7390433207532681]
[79,'2023-07-30','15:35:55',1690731355.467310,3.402169E-05,0.10124215614949600,0.4422255472112650,0.37888767762915200,0.46529247608401600,0.5642828888601910,0.7105011966466463]
[80,'2023-07-30','16:15:53',1690733753.563290,3.405735E-05,0.2428627968430420,0.3378735812452480,0.36357501116349100,0.4321978398904070,0.5528164292411330,0.6843621925148398]
[81,'2023-07-30','17:00:33',1690736433.411280,3.407253E-05,0.1983991687937850,0.2591252325649410,0.30713042655448000,0.3994913519264150,0.5191678818271160,0.6420272820711546]
[82,'2023-07-30','17:41:06',1690738866.455270,3.407037E-05,0.13560833300236700,0.20534424015271200,0.31013962926063200,0.34686033298989100,0.46465113109449900,0.6703680269835814]
[83,'2023-07-30','18:26:13',1690741573.867290,3.405809E-05,0.06503589949727480,0.14384549192317300,0.2776966593955730,0.3975550691230150,0.5238652702039560,0.6385322489969383]
[84,'2023-07-30','19:10:30',1690744230.663270,3.407051E-05,0.11041225736136100,0.21167344152971200,0.3173687137809940,0.3612329393135810,0.4875892020702400,0.6022979965926538]
[85,'2023-07-30','19:53:23',1690746803.663300,3.437679E-05,-0.7458810253420720,-0.05276107666821870,0.24620566118501600,-0.4526027583143420,-0.3186140044800110,-0.19906195336896815]
[86,'2023-07-30','20:37:28',1690749448.034580,3.428306E-05,0.13881853805945400,0.11760073614567500,0.518189262428109,0.6006841808517150,0.6985858767517070,0.9254700285376316]
[87,'2023-07-31','03:35:44',1690774544.879270,3.400743E-05,0.07275464787896620,0.1448182795502650,0.25217194504837400,0.3574167212462670,0.4695378059592910,0.5784140076449802]
[88,'2023-07-31','04:24:37',1690777477.431830,3.405603E-05,0.12093521071086900,0.14731454024139600,0.14076310540124800,0.4021561604007640,0.3812263426462580,0.6312332323778804]
[89,'2023-07-31','05:13:31',1690780411.427170,3.405013E-05,0.08414789970962030,0.16461341049178200,0.26267269981364900,0.35822588091765800,0.48874663204738100,0.6484482666590168]
[90,'2023-07-31','06:02:04',1690783324.681000,3.405434E-05,0.05902603959056310,0.07751617473556390,0.24246004652499700,0.33750716151786300,0.4492729095510560,0.5725274168445083]
[91,'2023-07-31','06:48:18',1690786098.491330,3.403109E-05,0.12725897684848100,0.14573648817983600,0.25639908345864600,0.40554997070150000,0.5172394126414870,0.6325177417993473]
[92,'2023-07-31','07:34:16',1690788856.759300,3.40341E-05,0.1204408830550390,0.13724178874618100,0.2648399699567530,0.41045166209836700,0.5258572839484540,0.6325695568772289]
[93,'2023-07-31','08:21:15',1690791675.20759,3.404846E-05,0.07829872360554190,0.11759931845027400,0.222758736780861,0.35733106530183500,0.466336742132043,0.5831096753122296]